name,cap,ir
5-96-5,3029,69
5-96-4,3065,62
5-96-3,3141,54
5-96-2,3092,57
5-96-1,2926,89
5-95-5,3017,128
5-95-4,3138,58
5-95-3,3029,146
5-95-2,3035,70
5-95-1,3070,54
5-94-5,3112,87
5-94-4,3086,65
5-94-3,3035,65
5-94-2,3059,56
5-94-1,3142,51
5-93-5,3100,58
5-93-4,3008,94
5-93-3,3038,57
5-93-2,3145,52
5-93-1,3098,55
5-92-5,3029,57
5-92-4,3042,55
5-92-3,3135,50
5-92-2,3096,53
5-92-1,3040,59
5-91-5,3045,67
5-91-4,3126,62
5-91-3,3083,59
5-91-2,3023,67
5-91-1,3065,59
5-90-5,3132,66
5-90-4,3125,59
5-90-3,3030,71
5-90-2,3085,57
5-90-1,3150,62
5-89-5,3135,57
5-89-4,3047,83
5-89-3,3061,70
5-89-2,3154,56
5-89-1,3113,74
5-88-5,3018,68
5-88-4,3034,73
5-88-3,3130,54
5-88-2,3077,126
5-88-1,3008,67
5-87-5,3050,62
5-87-4,3105,63
5-87-3,3103,59
5-87-2,3029,56
5-87-1,3041,55
5-86-5,3146,51
5-86-4,3114,49
5-86-3,3058,53
5-86-2,3076,57
5-86-1,3163,53
5-85-5,3141,54
5-85-4,3034,86
5-85-3,3050,73
5-85-2,3146,57
5-85-1,3115,63
5-84-5,3017,88
5-84-4,3073,54
5-84-3,3154,50
5-84-2,3067,133
5-84-1,3025,76
5-83-5,3063,56
5-83-4,3128,55
5-83-3,3110,59
5-83-2,3019,56
5-83-1,3047,75
5-82-5,3147,52
5-82-4,3122,52
5-82-3,3041,53
5-82-2,3090,50
5-82-1,3149,51
5-81-5,3116,50
5-81-4,3019,57
5-81-3,3073,54
5-81-2,3140,48
5-81-1,3099,58
2-25-5,3173,60
2-25-4,3109,62
2-31-3,3172,59
2-27-4,3174,61
2-21-3,3204,56
2-31-1,3164,60
2-31-4,3108,119
2-29-5,3160,58
2-33-5,3182,56
2-35-3,3165,56
2-23-1,3175,60
2-35-1,3205,55
2-26-2,3207,60
2-21-5,3177,53
2-29-1,3171,52
2-33-1,3165,44
2-34-3,3121,62
2-30-5,3141,62
2-21-1,3171,59
2-22-5,3183,40
2-30-3,3082,84
2-23-2,3079,63
2-27-1,3198,55
2-24-2,3165,65
2-34-2,3181,66
2-21-4,3090,58
2-23-5,3187,62
2-29-2,3162,60
2-29-3,3203,55
2-29-4,3066,63
2-33-3,3196,49
2-30-1,3152,55
2-24-3,3178,54
2-25-1,3174,63
2-27-2,3067,86
2-34-5,3169,56
2-22-2,3205,55
2-32-5,3102,66
2-32-4,3185,63
2-32-3,3167,55
2-32-2,3174,56
2-32-1,3110,57
2-24-4,3198,53
2-28-3,3141,69
2-31-2,3028,100
2-28-1,3111,64
2-26-4,3147,57
2-23-3,3171,55
2-22-4,3174,48
2-27-3,3168,56
2-35-4,3165,57
2-30-2,3173,68
2-35-2,3111,61
2-26-1,3170,60
2-35-5,3191,68
2-34-1,3077,106
2-22-3,3109,55
2-33-2,3168,43
2-36-1,3098,81
2-28-2,3190,56
2-33-4,3098,57
2-28-4,3210,67
2-21-2,3179,52
2-31-5,3161,169
2-24-5,3113,58
2-26-5,3140,92
2-34-4,3177,56
2-28-5,3210,67
2-26-3,3112,64
2-22-1,3172,55
2-30-4,3149,59
2-27-5,3197,65
2-24-1,3093,70
2-25-3,3204,55
2-25-2,3163,57
2-23-4,3173,56
6-101-4,3128,54
6-103-2,3180,50
6-107-1,3101,73
6-110-1,3182,54
6-101-1,3108,51
6-102-3,3128,45
6-109-3,3123,53
6-102-5,3180,50
6-110-2,3131,52
6-102-2,3128,45
6-106-4,3120,49
6-107-3,3101,59
6-108-2,3111,55
6-105-3,3119,55
6-109-4,3131,53
6-110-4,3120,54
6-102-4,3129,53
6-116-5,3119,63
6-116-4,3122,55
6-116-3,3178,53
6-116-2,3101,54
6-116-1,3121,52
6-115-5,3131,56
6-115-4,3188,50
6-115-3,3126,53
6-115-2,3096,74
6-115-1,3136,53
6-114-5,3176,51
6-114-4,3125,55
6-114-3,3117,54
6-114-2,3114,49
6-114-1,3144,54
6-113-5,3122,40
6-113-4,3127,56
6-113-3,3121,56
6-113-2,3176,55
6-113-1,3118,54
6-112-5,3107,77
6-112-4,3117,54
6-112-3,3168,49
6-112-2,3122,50
6-112-1,3122,56
6-111-5,3123,54
6-111-4,3163,61
6-111-3,3113,54
6-104-2,3082,91
6-108-1,3109,65
6-101-2,3183,55
6-101-3,3127,56
6-105-2,3159,53
6-109-1,3123,52
6-103-1,3180,50
6-111-2,3112,59
6-101-5,3133,51
6-105-4,3107,53
6-104-3,3143,65
6-106-3,3121,53
6-102-1,3176,49
6-111-1,3118,53
6-108-3,3170,58
6-104-1,3099,63
6-110-5,3146,92
6-106-6,3166,53
6-108-5,3111,56
6-106-1,3163,66
6-104-5,3102,59
6-107-4,3172,57
6-109-2,3176,52
6-105-1,3115,50
6-103-3,3140,54
6-104-4,3112,62
6-107-5,3128,53
6-106-2,3123,59
6-105-5,3119,53
6-109-5,3127,52
6-110-3,3117,53
6-103-5,3136,61
6-103-4,3184,54
6-107-2,3110,60
6-108-4,3102,56
4-76-5,3153,60
4-76-4,3220,58
4-76-3,3186,57
4-76-2,3144,56
4-76-1,3128,56
4-75-5,3206,53
4-75-4,3178,52
4-75-3,3160,59
4-75-2,3119,65
4-75-1,3148,88
4-74-5,3188,60
4-74-4,3100,65
4-74-3,3138,50
4-74-2,3200,48
4-74-1,3211,41
4-73-5,3145,47
4-72-5,3138,60
4-72-4,3061,83
4-72-3,3188,57
4-72-2,3134,92
4-72-1,3146,65
4-71-5,3173,79
4-71-4,3205,57
4-71-3,3148,65
4-71-2,3154,64
4-71-1,3147,244
4-70-5,3154,60
4-70-4,3139,58
4-70-3,3144,61
4-70-2,3157,86
4-70-1,3184,57
4-69-5,3149,61
4-69-4,3144,68
4-69-3,3150,256
4-69-2,3209,56
4-69-1,3184,63
4-68-5,3156,54
4-68-4,3212,59
4-68-3,3195,52
4-68-2,3155,55
4-68-1,3125,66
4-67-5,3182,69
4-67-4,3182,60
4-67-3,3147,62
4-67-2,3131,63
4-67-1,3198,65
4-66-5,3197,61
4-66-4,3154,98
4-66-3,3124,71
4-66-2,3178,58
4-66-1,3171,55
4-65-5,3172,60
4-65-4,3133,92
4-65-3,3200,67
4-65-2,3196,58
4-65-1,3157,66
4-64-5,3128,65
4-64-4,3171,69
4-64-3,3171,57
4-64-2,3118,72
4-64-1,3126,62
4-63-5,3207,55
4-63-4,3207,53
4-63-3,3158,57
4-63-2,3128,83
4-63-1,3192,62
4-62-5,3197,58
4-62-4,3169,55
4-62-3,3130,61
4-62-2,3211,54
4-62-1,3186,52
4-61-5,3163,51
4-61-4,3136,57
4-61-3,3151,85
4-61-2,3178,69
4-61-1,3156,62
3-43-2,3091,55
3-46-5,3099,128
3-44-3,3154,95
3-48-5,3100,71
3-44-5,3062,102
3-41-4,3079,64
3-51-5,3099,66
3-50-5,3173,58
3-52-1,3077,70
3-50-1,3191,58
3-50-3,3080,59
3-50-2,3105,62
3-46-1,3183,68
3-41-2,3195,59
3-47-5,3105,59
3-44-2,3086,65
3-47-2,3040,50
3-48-1,3073,62
3-42-3,3088,71
3-42-4,3115,57
3-55-1,2985,83
3-48-4,3142,62
3-55-3,3100,71
3-53-3,3149,40
3-46-2,3132,58
3-41-1,3103,58
3-49-4,3065,82
3-53-4,3149,40
3-45-3,3137,55
3-55-2,3088,52
3-51-4,3188,60
3-56-1,3033,93
3-42-2,3155,51
3-44-1,3072,139
3-45-4,3077,55
3-48-3,3201,67
3-46-3,3074,73
3-43-1,3144,58
3-55-4,3198,57
3-42-5,3192,61
3-45-5,3097,62
3-43-5,3147,60
3-50-4,3038,87
3-41-3,3142,58
3-42-1,3195,54
3-46-4,3080,59
3-43-3,3108,53
3-47-1,3112,67
3-51-1,3124,59
3-49-5,3098,54
3-54-5,3179,85
3-44-4,3122,66
3-54-4,3114,52
3-47-4,3159,74
3-53-1,3101,45
3-49-2,3154,252
3-45-2,3181,56
3-49-3,3151,64
3-51-2,3091,63
3-47-3,3086,65
3-54-1,3179,66
3-54-3,3066,66
3-49-1,3100,57
3-55-5,3133,62
3-53-2,3174,54
3-41-5,3107,56
3-43-4,3204,57
3-45-1,3086,56
3-54-2,3130,57
3-48-2,3081,82
3-53-5,3098,74
3-52-5,3098,54
3-52-4,3142,61
3-52-3,3197,66
3-52-2,3099,58
3-51-3,3098,57
1-3-2,3131,66
1-1-2,3141,58
1-2-1,3144,59
1-2-2,3056,88
1-5-4,3067,56
1-6-3,3126,66
1-2-4,3115,59
1-3-1,3053,59
1-4-1,3121,91
1-5-1,3107,60
1-5-5,3122,61
1-1-4,3141,58
1-1-5,3110,62
1-4-3,3134,59
1-5-3,3067,56
1-1-1,3104,61
1-4-4,3065,55
1-4-5,3143,54
1-3-3,3110,57
1-1-3,3054,57
1-6-2,3140,132
1-3-4,3134,71
1-5-2,3132,61
1-4-2,3101,59
1-2-5,3155,58
1-3-5,3053,68
1-15-2,3122,68
1-15-1,3049,63
1-14-5,3120,75
1-14-4,3086,73
1-14-3,3138,46
1-14-2,3041,64
1-14-1,3140,48
1-13-5,3063,72
1-13-4,3137,57
1-13-3,3066,58
1-13-2,3144,57
1-13-1,3063,90
1-12-5,3135,64
1-12-4,3046,64
1-12-3,3131,54
1-12-2,3081,56
1-12-1,3120,69
1-11-5,3045,61
1-11-4,3116,67
1-11-3,3015,101
1-11-02,3073,72
1-11-01,2991,180
1-10-05,3121,58
1-10-04,3015,130
1-10-03,3127,61
1-10-02,3037,83
1-10-01,3121,66
1-09-05,3111,64
1-09-04,3124,78
1-09-03,3036,120
1-09-02,3121,71
1-09-01,3094,76
1-08-05,3127,66
1-08-04,3033,69
1-08-03,3120,62
1-08-02,3064,99
1-08-01,3111,73
1-07-05,3050,62
1-07-04,3129,64
1-07-03,3108,62
1-07-02,3142,56
1-07-01,3046,73
1-06-05,3130,65
1-06-04,3028,75
1-2-3,3147,51
5-100-1,3056,61
5-99-5,3089,59
5-99-4,3150,54
5-99-3,3128,54
5-99-2,3060,0
5-99-1,3069,55
5-98-5,3136,55
5-98-4,3120,57
5-98-3,3043,53
5-98-2,3046,58
5-98-1,3133,56
5-97-5,3119,51
5-97-4,3036,55
5-97-3,3057,55
5-97-2,3131,53
5-97-1,3104,58
2-40-2,3161,54
2-39-1,3206,61
2-36-4,3192,58
2-37-1,3169,56
2-37-4,3109,61
2-36-5,3084,82
2-40-1,3124,59
2-38-5,3181,55
2-37-5,3171,58
2-39-3,3170,57
2-38-1,3178,66
2-38-3,3127,58
2-36-2,3176,59
2-37-3,3178,65
2-39-4,3147,68
2-39-5,3186,61
2-38-2,3212,56
2-39-2,3097,66
2-40-3,3148,54
2-38-4,3167,55
2-37-2,3129,72
2-40-5,3078,66
2-36-3,3162,64
2-40-4,3180,57
6-120-5,3048,51
6-120-4,3108,54
6-120-3,3105,77
6-120-2,3087,53
6-120-1,3108,68
6-119-5,3117,61
6-119-4,3184,57
6-119-3,3109,54
6-119-2,3104,54
6-119-1,3120,59
6-118-5,3177,59
6-118-4,3124,55
6-118-3,3114,67
6-118-2,3127,61
6-118-1,3180,52
6-117-5,3119,52
6-117-4,3127,57
6-117-3,3114,117
6-117-2,3189,53
6-117-1,3121,54
4-80-4,3158,50
4-80-3,3170,65
4-80-2,3191,61
4-80-1,3130,91
4-79-5,3186,161
4-79-4,3216,54
4-79-3,3169,55
4-79-2,3158,62
4-79-1,3216,60
4-78-5,3210,55
4-78-4,3150,58
4-78-3,3149,63
4-78-2,3207,65
4-78-1,3201,54
4-77-5,3087,57
4-77-4,3107,72
4-77-3,3040,275
4-77-2,3124,53
4-77-1,3162,58
3-57-3,3072,86
3-60-4,3130,55
3-56-2,3102,56
3-57-2,3153,67
3-59-5,3155,57
3-59-3,3095,60
3-59-4,3130,124
3-60-1,3092,243
3-56-3,3184,63
3-56-5,3080,69
3-58-1,3079,66
3-58-3,3142,65
3-60-3,3130,72
3-60-5,3088,51
3-59-2,3107,56
3-57-4,3081,58
3-58-4,3108,57
3-58-2,3203,62
3-59-1,3146,59
3-58-5,3197,60
3-60-2,3088,57
3-56-4,3133,58
3-57-1,3056,89
3-57-5,3114,60
1-20-5,3140,64
1-20-4,3050,61
1-20-3,3102,69
1-20-2,3082,76
1-20-1,3105,56
1-19-5,3063,61
1-19-4,3110,66
1-19-3,3067,56
1-19-2,3082,85
1-19-1,3028,88
1-18-5,3122,67
1-18-4,3103,56
1-18-3,3122,65
1-18-2,3045,90
1-18-1,3088,73
1-17-5,3095,57
1-17-4,3114,71
1-17-3,3062,101
1-17-2,3156,57
1-17-1,3110,59
1-16-5,3134,68
1-16-4,3071,64
1-16-3,3134,58
1-16-2,3105,71
1-16-1,3097,47
1-15-5,3028,55
1-15-4,3109,57
1-15-3,3102,57
