MC3000-Set,Slot 3
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:12:26.000,4.2,0.0,0,0.0,0.0,31.8,57,43.4
             02:12:33.000,4.1,-0.7,1,2.7,0.0,31.8,57,44.0
             02:17:59.000,4.0,-1.0,91,4.0,0.4,33.7,57,69.8
             02:42:28.000,3.9,-1.0,499,4.0,2.0,39.2,57,84.3
             03:00:28.000,3.8,-1.0,799,3.9,3.2,40.2,57,83.6
             03:24:09.000,3.7,-1.0,1194,3.8,4.7,40.4,57,82.3
             03:45:59.000,3.6,-1.0,1558,3.7,6.0,40.0,57,81.0
             04:08:21.000,3.5,-1.0,1931,3.6,7.4,39.6,57,79.5
             04:33:58.000,3.4,-1.0,2358,3.5,8.9,39.7,57,77.9
             04:54:56.000,3.3,-1.0,2707,3.4,10.0,39.6,57,76.7
             05:07:07.000,3.2,-1.0,2910,3.3,10.7,39.6,57,75.6
             05:14:19.000,3.1,-1.0,3030,3.2,11.1,39.6,57,74.5
             05:17:03.000,3.0,0.0,3074,0.0,11.2,39.6,57,74.1
